Date,Hash/Parent Hash,Amount,Receiver,"Fee, Gwei"
5/15/2022 4:24,0x63b924ed9a3c09397c3c38d22eb3700981af60ea8e052da4d10f236a500302ae,1594400000,bit24,430855.3753
5/13/2022 21:56,0x985e6368284b458ee521a4ecbb19e68fc9d6a10a160e30dd39816d9d581afb42,1700700000,bit24,795571.223
5/13/2022 13:24,0xf22d33016d6a335139dcf6c360482b232fd2825eb7321b53f2b8a8b5b0f4adf1,1675000000,bit24,1558174
5/12/2022 14:12,0x034321af5741c007244aea73c6d82fe0375dfe1f5aa3b1a863bdf347bde47571,1800100000,bit24,4261784.49
5/12/2022 8:44,0x4e5095b7c8f521d55d1a21304329a4b39275f256994e7c756fc9cb92a2f6db34,2056400000,bit24,6764311.255
5/12/2022 8:29,0x26e1e0c827cc13cf6f786e2ad83459bdae8dfeb14ebaf9d6d70872bc2ba0898e,1914900000,bit24,10433914.72
5/11/2022 9:12,0x29509dbded563c4812cbfb46f5c6391a729579415a8d58f3226d076ba6c899c0,1400600000,bit24,1380127.347
5/11/2022 3:52,0xa464319f737bfaf28b74d801d17121ee8f750bc90d489835e4d3051ebab47c27,2024800000,bit24,686465.1199
5/11/2022 2:36,0x29701eed2864edf3da2bd266f33ed2e8e7e233b801584f5b62c2401b5ace4a7c,1382400000,bit24,814489.5437
5/10/2022 4:04,0xf652d13448396e50e2aed25732b84fbae85c83416e5d84434b6ca7a032344c28,1870900000,bit24,1363840.527
5/8/2022 13:04,0x15fada9ff7e6d8b75b7e07055f06c96ff594b3e8f2016db22e741d9e1aeeee8f,2422700000,bit24,385722.7613
5/8/2022 8:12,0x16acfd894483ce9441b2c93ddba5c143544e7ae495b24deba8e5289619dbb3ad,1730300000,bit24,516878.6132
5/7/2022 12:52,0x8d85636b99f8f51424234a29d4bc328c93b6e7db3e232d9cbe343a95f3cd8efb,1247500000,bit24,669878.8292
5/6/2022 8:52,0x9650b549a121b2fc0d86d15dc72ed8a8db41127bfe9a2c6903585c9b5c12c6c7,1235900000,bit24,663399.6005
5/4/2022 4:44,0xa6eb4446207144df0edc1d982dfabca00b4fe2a14955d05c63c43eb84abbdafa,1359800000,bit24,968025.0012
5/2/2022 10:08,0xa6f96f6005899449b485227dea32772b3f0a93c9721bcdbb7d1b22dccc7f8260,1207900000,bit24,1206725.163
4/30/2022 20:32,0xc2731241ffd3853322bcaeeac5144fc51ee7bc5894f9720d75924bb825e47146,1765000000,bit24,1060401.6
4/30/2022 8:36,0x3db09bba5c14a170e7fca0c9daa183af1422c70e07c04833cb4d33b23ecf340c,1742500000,bit24,544378.5311
4/29/2022 18:48,0x95e1dd8843bb7cd5863519efaf587d79336cc0bbd8a47dcdc570e18923092f4a,2383600000,bit24,2296566.581
4/15/2022 14:12,0xa5c9e4a5e2bb84d31bebc8c9cda9cbb57aae080ce1393b1c2ff2793d97fdaf22,2810100000,bit24,1407508.901
4/7/2022 22:12,0x2f1de1055ea95422947edc7ee3ff902fa510b2453604db8bd1ec7261020f6535,2597200000,bit24,1787822.593
4/5/2022 15:25,0x40e2578ba9ab62fed5e501b8fba39dd3998dbdf95f87c4fedb3e40bdd51dd191,2354200000,bit24,1307343.863
3/23/2022 20:04,0xc0e773dcef7697a46dd68b50bf4426e40e754d1bd779586d1683f17e655392c8,3123800000,bit24,1882379.664
3/8/2022 13:44,0xc59b92ce96903ab1071342bf274ddd150ef11db8ec36448c48f29e6709f2fac9,3174750000,bit24,739426.4148
3/5/2022 7:24,0x79e30a3d4b8bbb7b3c315b143d5d146f2271b840edbfa8942c238b371b66ea75,3139850000,bit24,416269.9522
2/27/2022 20:28,0x66bf7a7803d33158be87801cfd2f029feb3bf863e6c55d1e595adb745eba68bd,3221350000,bit24,1031551.015
2/24/2022 13:24,0x20048d9736b35c5019fb9aa0b70824760d67f25d89f773ddbb6a3f8b1fbd63e7,3807250000,bit24,1410628.768
2/24/2022 5:12,0x7ccc4508a4115b7ceb745a2354c4d6464230e426793cc8b2722ef5445f867c9d,3354250000,bit24,2962915.242
2/21/2022 12:32,0xb67443bc76e6fdbc6763b34292b9a7a6e733a3b4127e620c9decdad4b2d80ebe,3467250000,bit24,1139683.888
2/18/2022 7:04,0xe44244c7fdb8c920327934c6d20833226098a1da99bffedad03d31c4493c3a86,3544650000,bit24,2520000
2/12/2022 15:24,0x512ddfc3513bfeb0084c903869c307e8ba0677c11adf26ee368c3073a5b1e2c5,3063850000,bit24,2520000
2/12/2022 13:12,0xd8e54a60375893fc549ae75150a30b7970bbd9621cefed03b2b2f34dddbcb2d6,10802850000,bit24,2520000
2/11/2022 5:12,0x9a627605cd2faabb30a74c32a5440b13d17e59192552e2545de8699c2a2eaa4c,2714350000,bit24,2520000
2/7/2022 17:08,0x3f52be1491a0ac6e4f5cfdcf6be2ba3d4b62b20d45b28ad4e8b6690e919add9a,2699950000,bit24,5586000
1/23/2022 12:40,0xa1fc4c8dd5dbca23c37c4f164353b8454604481e3ecf8c8e6177746ba4d17485,17916650000,bit24,2268000
1/6/2022 23:45,0x791964ae5c0f13f2e0f9830433c651042fca77ae7e45d78bc7849f08fc9790d8,2345900000,bit24,2730000
1/6/2022 14:45,0x3c18b8cbca5bfdb43884e1df128a816e1b670f049cc66d08c1daa54fbfd1a6af,2407400000,bit24,3780000
1/6/2022 9:00,0xd34ad74f7809cc7e542922fbd71b686e9dc9330e130717543d3788ed6101a991,2349500000,bit24,2394000
1/2/2022 20:30,0x8b14dc4d64570e0c577b8f4caec02875683663ff2014d9f7229d9bab30d0174e,2172100000,bit24,2877000
12/31/2021 16:15,0x6fdf9fc5d0c379fc8cc4cd9060343dc3be763080327ee715d559b79fa5076487,4171000000,bit24,2373000
